table_name,category,status,description,notes
blueprint,content,draft,"The core SimVault content unit. A reference model plan for a simulation, realized in one or more tech-specific model definitions. One row per SimVault blueprint.","Maps to the 'model entry' concept in 020_model_entry_structure.md. Named 'blueprint' in the schema to avoid collision with the overloaded word 'model' and to reflect its role as a plan/reference that is realized in multiple simulation technologies. Contains top-level metadata; content tiers live in separate tables."
context,content,draft,"A single unit of raw context attached to a blueprint. Tier 1 of the three-tier content model. Supports multiple content formats (text, markdown, PDF, audio, image, etc.) via the content_format lookup.","Many context rows per blueprint. See 027_raw_context_ingestion.md. Each row has three-axis provenance labels. Supports content lineage via derived_from_context_id for derived content (transcripts, OCR output, AI summaries)."
content_format,taxonomy,draft,"Lookup table enumerating the content formats supported by the platform, with phase-gating metadata.","Drives the content_format FK on the context table. Each row represents a format (text_plain, document_pdf, audio_recording, etc.) with phase_enabled governing which release activates it. Adding a new format requires only a new row, not a schema migration."
summary_section,content,draft,One of the eight narrative sections in a blueprint's Summary tier. Tier 2 of the three-tier content model.,"Zero to eight rows per blueprint (one per section when content exists). See 025_modeling_decisions_within_entries.md. Section names are enumerated."
model_definition,content,draft,A tech-specific executable or near-executable artifact for a blueprint. Tier 3 of the three-tier content model.,"Zero to many rows per blueprint. See 028_model_definitions_and_translators.md. Each row references an external git repo (v1) or SimVault-hosted git (future). A blueprint is the plan; model_definitions are realizations of it in specific simulation technologies."
scenario,content,draft,A first-class what-if question the blueprint's model is designed to answer.,"Zero to many rows per blueprint. See 023_scenarios.md. Scenarios frame the blueprint's purpose and drive variant selection."
domain,taxonomy,draft,A top-level or sub-level category in the SimVault domain taxonomy.,"Hierarchical (parent_domain_id self-reference). See 050_domain_taxonomy.md. Foundational Patterns is a special flag."
blueprint_domain,content,draft,Many-to-many join linking blueprints to one or more domains.,"A blueprint can belong to multiple domains. Composite primary key."
model_definition_scenario,content,draft,Many-to-many join indicating which scenarios a given model definition supports.,"Tagged per 028_model_definitions_and_translators.md Scenario Support section. Composite primary key."
related_blueprint,content,draft,Self-referential many-to-many join between blueprints with a typed relationship.,"Captures foundational / adjacent / prerequisite / alternative / cross-reference relationships between blueprints. Composite primary key."
modeling_feature,taxonomy,draft,"Lookup table enumerating structured modeling features that a blueprint may use (balking, reneging, priority queueing, time-varying arrivals, etc.).","Drives blueprint_modeling_feature as a many-to-many join. Gap 14 from sample_data/202_seeder_walkthrough_drive_thru surfaced this table — balking was repeatedly mentioned in the drive-thru summary but had no structured home. Grouped by category (customer_behavior, resource_behavior, arrival_pattern, routing, queue_discipline, system). Adding a new feature requires only a new row, not a schema migration."
blueprint_modeling_feature,content,draft,"Many-to-many join linking a blueprint to the modeling features it uses.","Enables faceted browsing by modeling feature (e.g., 'show me all blueprints that model balking'). Composite primary key."
proposal,workflow,draft,"Central editorial queue for proposed changes to taxonomy tables (modeling_feature, domain, content_format, des_product, and future vendor_product). Enables AI Seeder-driven continuous proposal with human editorial review on a separate timeline.","Each proposal row points to a row in a target taxonomy table via polymorphic (target_table, target_row_id) reference. The target row's approval_status column reflects the proposal state (seed/pending/approved/rejected). Supports the AI-native vision where the Seeder can propose new taxonomy entries continuously without polluting the curated seed lists. Introduced to address the gap raised when sample data mapping repeatedly asked 'should this feature/domain be added?' — the answer is 'add it as pending and let editors review on their own timeline.'"
des_product,taxonomy,draft,"Lookup table enumerating DES simulation tools and platforms that model definitions can target (Simio, AnyLogic, SimPy, Quodsi, etc.).","Drives the des_product_code FK on model_definition (renamed from target_tech_name in schema change #11). Each row represents a commercial or open-source DES tool with metadata (vendor, website, product type, primary language). Multi-valued attributes like simulation paradigms and scripting languages are captured via the des_product_capability M:N join rather than scalar columns (schema change #12). Adding a new tool is a new row — either seeded directly or proposed via the proposal table."
product_capability,taxonomy,draft,"Lookup table enumerating structured capabilities that DES products may support (simulation paradigms, authoring modalities, scripting languages, visualization, analytical features, integrations).","Drives des_product_capability as a many-to-many join. Same pattern as modeling_feature (which tags blueprints) but applied to products — lets users filter the product catalog by capability (e.g., 'show me all products that support agent-based modeling AND Python scripting'). Grouped by category: simulation_paradigm, authoring_modality, scripting_language, visualization, analytical_feature, integration. Schema change #12 introduced this table, generalizing the insight that several scalar columns on des_product (simulation_paradigms, is_open_source) were actually multi-valued in disguise."
des_product_capability,taxonomy,draft,"Many-to-many join linking a DES product to the capabilities it supports.","Enables faceted browsing of the product catalog by capability. Composite primary key (des_product_code, capability_code). Optional usage_note captures product-specific details about how a capability is implemented (e.g., 'Java scripting via AnyLogic API')."
user,identity,draft,"Local user identity table. A thin projection of the external identity provider (Kinde, MSAL) keyed to SimVault-specific fields. Holds the target rows for every *_by_user_id foreign key in the content backbone.","SimVault uses an external identity provider (Kinde primarily, MSAL planned) for authentication — passwords, MFA, sessions, and tokens live there, NOT here. This table exists so that FKs like blueprint.created_by_user_id, context.added_by_user_id, and proposal.reviewer_user_id can target a stable local row. Rows are created via just-in-time (JIT) provisioning: on first authenticated request, the backend looks up user WHERE external_subject = :sub and inserts a new row if none exists, populating email/display_name/avatar_url from the JWT claims. Projected fields (email, display_name, avatar_url) are denormalized caches refreshed opportunistically via last_synced_at. This table also holds AI agent identities (e.g., seeder:207_walkthrough) as first-class rows with external_provider='system', giving the proposal.proposed_by_agent field a real FK target and unifying audit trails across human and agent contributors."
