code,display_name,category,description,display_order,approval_status
balking,"Balking",customer_behavior,"A potential customer arrives, observes the queue, and decides not to join because the queue is too long or wait time appears too high.",10,seed
reneging,"Reneging",customer_behavior,"A customer who has already joined the queue leaves before being served, typically because their wait exceeds a patience threshold.",20,seed
jockeying,"Jockeying",customer_behavior,"A customer switches between multiple queues during their wait, typically joining a shorter queue when one becomes available.",30,seed
customer_classes,"Customer Classes",customer_behavior,"The model includes multiple classes of entities (e.g., regular vs. PreCheck passengers, new vs. follow-up patients) with different service times, priorities, or routing behaviors.",40,seed
resource_schedules,"Resource Schedules",resource_behavior,"Resources have time-varying availability driven by shift schedules, breaks, or calendar-based patterns rather than being available for the full simulation horizon.",10,seed
resource_breakdowns,"Resource Breakdowns",resource_behavior,"Resources can fail during operation and require repair, typically modeled with mean-time-between-failures and mean-time-to-repair distributions.",20,seed
resource_setup_times,"Resource Setup Times",resource_behavior,"Resources require setup/changeover time between different job types (e.g., paint color changes, mold changes, tool changes in manufacturing).",30,seed
multi_skill_resources,"Multi-Skill Resources",resource_behavior,"Resources have varying capabilities — some can perform more activity types or at different speeds than others (e.g., senior vs. junior staff, specialized vs. generalist equipment).",40,seed
shared_resources,"Shared Resources",resource_behavior,"A resource is shared across multiple activities or multiple subsystems, creating contention between otherwise-independent flows.",50,seed
time_varying_arrivals,"Time-Varying Arrivals",arrival_pattern,"The arrival rate varies over the simulation horizon, typically modeled as a non-homogeneous Poisson process or via piecewise-constant rates across intervals (e.g., 15-minute buckets across a day).",10,seed
batch_arrivals,"Batch Arrivals",arrival_pattern,"Multiple entities arrive simultaneously as a batch rather than one at a time (e.g., a bus of passengers arriving at a TSA checkpoint).",20,seed
priority_arrivals,"Priority Arrivals",arrival_pattern,"Arriving entities carry priority attributes that influence their downstream queueing and routing decisions.",30,seed
appointment_based_arrivals,"Appointment-Based Arrivals",arrival_pattern,"Arrivals are bound to scheduled appointment slots with stochastic punctuality (early, on-time, late, no-show) rather than purely random inter-arrival times.",40,seed
paced_arrivals,"Paced / Takt-Driven Arrivals",arrival_pattern,"Arrivals are driven by a deterministic takt time or near-fixed cadence rather than a stochastic arrival process. Characteristic of manufacturing assembly lines where the line runs at a target production rate and variability enters through service times rather than arrivals.",50,seed
conditional_routing,"Conditional Routing",routing,"Routing decisions depend on dynamic system state (e.g., congestion level, queue length, time of day) rather than fixed probabilities or static rules.",10,seed
probabilistic_routing,"Probabilistic Routing",routing,"Routing outcomes are determined by Bernoulli or multinomial draws (e.g., a fraction of entities are routed to secondary inspection, the rest proceed).",20,seed
shortest_queue_routing,"Shortest-Queue Routing",routing,"Entities observe multiple parallel queues and join the one with the fewest waiting entities (also called join-the-shortest-queue or JSQ).",30,seed
feedback_loops,"Feedback Loops",routing,"Entities can revisit earlier activities via rework, retry, or rescan loops (e.g., a slide flagged for QC failure is returned for re-preparation).",40,seed
parallel_paths,"Parallel Paths",routing,"Multiple paths through the system execute in parallel with later synchronization or merge points (e.g., dual-lane drive-thru merging at pickup).",50,seed
physical_queue_capacity,"Physical Queue Capacity",queue_discipline,"Queues have a finite physical capacity limit (e.g., drive-thru lane length, waiting room chairs) beyond which additional arrivals cannot enter.",10,seed
priority_queueing,"Priority Queueing",queue_discipline,"Queue service order is determined by entity priority rather than first-in-first-out (FIFO). High-priority entities can jump ahead of lower-priority ones.",20,seed
LIFO_queueing,"LIFO Queueing",queue_discipline,"Last-in-first-out service order — common in stack-like systems (e.g., document archival, push-down stores).",30,seed
shortest_job_first,"Shortest Job First",queue_discipline,"Shortest-job-first service discipline where the entity with the smallest expected service time is selected next from the queue.",40,seed
multi_class_entities,"Multi-Class Entities",system,"The model tracks multiple entity classes as first-class concepts, with class attributes affecting behavior throughout the system.",10,seed
warm_up_period,"Warm-Up Period",system,"The simulation has an explicit initial transient period whose statistics are discarded before collecting steady-state metrics.",20,seed
rare_event_handling,"Rare Event Handling",system,"The model uses techniques like importance sampling or rare-event simulation to estimate probabilities of low-probability outcomes (e.g., system overload, equipment failure).",30,seed
time_of_day_effects,"Time-of-Day Effects",system,"Model behavior varies explicitly by time of day — shift changes, peak periods, breakfast/lunch/dinner windows, overnight operations — beyond just arrival rate variation.",40,seed
