code,display_name,vendor_name,vendor_website,product_type,primary_language,description,typical_use_cases,display_order,approval_status
simio,"Simio","Simio LLC",https://www.simio.com/,commercial,C#,"Object-oriented multi-paradigm simulation software with strong manufacturing, healthcare, mining, and logistics capabilities. Known for its process modeling library and data-driven approach.","manufacturing, healthcare, logistics, mining, supply chain",10,seed
anylogic,"AnyLogic","The AnyLogic Company",https://www.anylogic.com/,commercial,Java,"Multi-method simulation platform supporting discrete event, agent-based, and system dynamics modeling. Strong in complex systems and multi-scale simulation.","supply chain, manufacturing, healthcare, transportation, business process",20,seed
arena,"Arena","Rockwell Automation",https://www.rockwellautomation.com/en-us/products/software/arena-simulation.html,commercial,Visual/GUI,"Classical discrete-event simulation software with long academic and industrial history. Strong in manufacturing and healthcare workflows.","manufacturing, healthcare, service operations, business process",30,seed
flexsim,"FlexSim","FlexSim Software Products",https://www.flexsim.com/,commercial,FlexScript,"3D discrete-event simulation software with strong visualization for manufacturing and warehousing applications.","manufacturing, warehousing, logistics, material handling",40,seed
simul8,"Simul8","Simul8 Corporation",https://www.simul8.com/,commercial,Visual/GUI,"Process-focused business simulation software emphasizing ease of use for non-programmers. Strong in healthcare and service operations.","healthcare, service operations, business process, contact centers",50,seed
promodel,"ProModel","ProModel Corporation",https://www.promodel.com/,commercial,Visual/GUI,"Discrete-event simulation software for manufacturing and healthcare applications. Known for its ease of use and industry-specific templates.","manufacturing, healthcare, supply chain",60,seed
witness,"Witness","Lanner Group",https://www.lanner.com/,commercial,Visual/GUI,"Discrete-event simulation platform with strong manufacturing and supply chain heritage. Part of the Lanner simulation suite.","manufacturing, supply chain, logistics",70,seed
visual_components,"Visual Components","Visual Components",https://www.visualcomponents.com/,commercial,Python,"3D manufacturing simulation and robot programming platform. Strong for factory layout, robot cell design, and physical production systems.","manufacturing, robotics, factory layout, material handling",80,seed
plant_simulation,"Plant Simulation","Siemens Digital Industries Software",https://plm.sw.siemens.com/en-US/tecnomatix/products/plant-simulation-software/,commercial,SimTalk,"Part of the Siemens Tecnomatix portfolio. Discrete-event simulation for analyzing production systems and logistics operations.","manufacturing, automotive production, logistics, supply chain",90,seed
simpy,"SimPy","Team SimPy (community)",https://simpy.readthedocs.io/,open_source,Python,"Process-based discrete-event simulation framework built on Python generators. Lightweight, extensible, and widely used for teaching and research.","teaching, research, lightweight modeling, M/M/1 examples, prototype simulations",100,seed
salabim,"Salabim","Ruud van der Ham (community)",https://www.salabim.org/,open_source,Python,"Process-based discrete-event simulation package for Python with built-in animation. Positioned as a more feature-rich alternative to SimPy for teaching and visualization.","teaching, research, animated simulations",110,seed
ciw,"Ciw","CiwPython contributors",https://ciw.readthedocs.io/,open_source,Python,"Discrete-event simulation library specialized for queueing networks. Rich analytical features and reproducibility focus.","queueing networks, research, teaching, network analysis",120,seed
jaamsim,"JaamSim","JaamSim contributors",https://jaamsim.com/,open_source,Java,"Free and open-source desktop discrete-event simulation software. Drag-and-drop modeling with scripting extensions.","teaching, research, desktop modeling, general simulation",130,seed
quodsi,"Quodsi","Quodsi",https://quodsi.com,freemium,"Python/TypeScript","Diagramming-tool-native discrete-event simulation platform. Integrates with LucidChart, Miro, and diagrams.net to turn process diagrams into runnable DES models with simulation executed by a Python engine.","business process, manufacturing, healthcare, supply chain, service operations",140,seed
